Date,SBIN,UNIONBANK
2018-10-11,262.15,68.55
2018-10-12,263.75,69.1
2018-10-15,263.2,68.95
2018-10-16,270.3,71.05
2018-10-17,261.15,66.85
2018-10-19,261.1,64.5
2018-10-22,260.35,62.7
2018-10-23,255.65,62.65
2018-10-24,255.7,63.4
2018-10-25,249.55,63.65
2018-10-26,248.1,62.15
2018-10-29,267.9,69.7
2018-10-30,273.15,75.8
2018-10-31,281.4,76.65
2018-11-01,285.9,77.35
2018-11-02,285.35,75.75
2018-11-05,294.95,79.45
2018-11-06,286.45,78.95
2018-11-07,286.55,79.3
2018-11-09,283.25,81.85
2018-11-12,277.95,78.55
2018-11-13,278.05,79.9
2018-11-14,283.6,80.65
2018-11-15,285.4,81.6
2018-11-16,290.9,82.6
2018-11-19,288.15,81.75
2018-11-20,283.45,79.95
2018-11-21,287.05,82.15
2018-11-22,282.7,80.3
2018-11-26,286.4,80.05
2018-11-27,289.4,81.7
2018-11-28,284.55,79.4
2018-11-29,286.4,79.8
2018-11-30,284.65,78.55
2018-12-03,286.8,80.75
2018-12-04,282.55,79.05
2018-12-05,280.15,76.15
2018-12-06,275.65,73.55
2018-12-07,275.4,73.0
2018-12-10,274.2,71.55
2018-12-11,281.25,73.4
2018-12-12,285.25,77.05
2018-12-13,289.0,77.2
2018-12-14,289.2,77.8
2018-12-17,289.5,77.85
2018-12-18,292.75,80.45
2018-12-19,300.7,83.1
2018-12-20,294.05,82.45
2018-12-21,291.9,82.4
2018-12-24,293.05,83.05
2018-12-26,294.15,83.5
2018-12-27,292.15,83.9
2018-12-28,294.8,85.95
2018-12-31,295.9,85.9
2019-01-01,299.6,88.3
2019-01-02,293.9,88.2
2019-01-03,291.1,88.75
2019-01-04,297.65,92.25
2019-01-07,296.3,90.6
2019-01-08,305.3,94.55
2019-01-09,305.3,92.0
2019-01-10,305.55,92.8
2019-01-11,302.75,93.65
2019-01-14,300.4,94.25
2019-01-15,301.65,94.15
2019-01-16,303.15,96.2
2019-01-17,297.4,94.85
2019-01-18,294.95,92.5
2019-01-21,292.45,86.3
2019-01-22,290.25,83.95
2019-01-23,286.65,82.75
2019-01-24,288.05,82.5
2019-01-25,285.4,79.45
2019-01-28,281.6,78.4
2019-01-29,280.6,80.05
2019-01-30,287.45,81.2
2019-01-31,293.65,82.75
2019-02-01,284.4,81.45
2019-02-04,283.95,79.45
2019-02-05,284.65,78.15
2019-02-06,289.05,79.4
2019-02-07,287.4,78.8
2019-02-08,286.0,72.5
2019-02-11,280.5,72.15
2019-02-12,275.4,70.4
2019-02-13,268.2,69.4
2019-02-14,267.1,70.95
2019-02-15,262.95,68.65
2019-02-18,259.95,67.95
2019-02-19,262.9,68.5
2019-02-20,267.7,69.65
2019-02-21,268.0,71.55
2019-02-22,270.95,71.2
2019-02-25,270.15,71.25
2019-02-26,266.35,69.7
2019-02-27,267.65,70.1
2019-02-28,269.05,71.65
2019-03-01,272.95,77.15
2019-03-05,276.45,80.65
2019-03-06,278.1,79.25
2019-03-07,281.75,79.95
2019-03-08,281.2,78.1
2019-03-11,287.35,82.7
2019-03-12,286.9,82.7
2019-03-13,293.15,82.6
2019-03-14,291.9,82.8
2019-03-15,298.4,82.9
2019-03-18,298.95,83.75
2019-03-19,303.05,87.65
2019-03-20,303.8,88.45
2019-03-22,298.05,86.85
2019-03-25,294.0,87.4
2019-03-26,303.5,91.55
2019-03-27,308.8,93.8
2019-03-28,319.0,96.95
2019-03-29,320.75,95.6
2019-04-01,322.75,96.4
2019-04-02,329.0,98.8
2019-04-03,320.5,94.8
2019-04-04,321.8,92.35
2019-04-05,317.05,93.0
2019-04-08,312.8,92.25
2019-04-09,314.75,94.7
2019-04-10,310.9,93.6
2019-04-11,314.9,93.25
2019-04-12,315.25,93.5
2019-04-15,315.6,92.7
2019-04-16,315.75,92.3
2019-04-18,310.8,91.0
2019-04-22,310.05,86.85
2019-04-23,305.25,88.1
2019-04-24,310.75,89.1
2019-04-25,306.2,87.65
2019-04-26,312.5,88.05
2019-04-29,311.9,87.95
