Date,INDUSINDBK,SOUTHBANK
2018-11-21,1546.7,14.6
2018-11-22,1528.85,14.5
2018-11-26,1562.75,14.9
2018-11-27,1588.55,15.5
2018-11-28,1613.35,15.4
2018-11-29,1660.55,15.9
2018-11-30,1631.8,16.1
2018-12-03,1656.3,16.8
2018-12-04,1635.75,16.65
2018-12-05,1603.6,16.15
2018-12-06,1569.45,15.1
2018-12-07,1566.8,15.35
2018-12-10,1554.45,15.05
2018-12-11,1552.8,15.55
2018-12-12,1582.2,16.1
2018-12-13,1610.1,16.1
2018-12-14,1603.85,15.45
2018-12-17,1633.35,15.5
2018-12-18,1639.55,15.35
2018-12-19,1612.65,15.6
2018-12-20,1612.85,15.7
2018-12-21,1575.65,15.45
2018-12-24,1562.35,15.3
2018-12-26,1556.45,15.1
2018-12-27,1564.0,15.15
2018-12-28,1583.25,15.35
2018-12-31,1599.3,15.55
2019-01-01,1595.6,15.65
2019-01-02,1576.6,15.45
2019-01-03,1560.1,15.3
2019-01-04,1548.2,15.3
2019-01-07,1559.15,15.25
2019-01-08,1577.75,15.25
2019-01-09,1601.75,15.4
2019-01-10,1565.9,15.85
2019-01-11,1515.15,15.7
2019-01-14,1484.05,15.6
2019-01-15,1495.2,15.6
2019-01-16,1526.7,15.9
2019-01-17,1523.0,15.7
2019-01-18,1516.9,15.55
2019-01-21,1507.6,14.2
2019-01-22,1501.6,14.1
2019-01-23,1495.0,13.95
2019-01-24,1490.3,13.8
2019-01-25,1484.9,13.45
2019-01-28,1443.7,13.15
2019-01-29,1461.85,13.3
2019-01-30,1476.1,13.15
2019-01-31,1505.55,13.15
2019-02-01,1515.15,13.1
2019-02-04,1504.65,13.2
2019-02-05,1541.75,12.85
2019-02-06,1526.05,12.95
2019-02-07,1514.95,13.7
2019-02-08,1499.05,13.45
2019-02-11,1511.0,13.5
2019-02-12,1497.2,13.15
2019-02-13,1498.45,12.95
2019-02-14,1517.5,13.2
2019-02-15,1509.5,12.95
2019-02-18,1517.0,12.9
2019-02-19,1480.5,12.85
2019-02-20,1480.8,13.1
2019-02-21,1471.55,13.25
2019-02-22,1462.8,13.6
2019-02-25,1491.2,13.5
2019-02-26,1478.1,13.3
2019-02-27,1476.7,13.25
2019-02-28,1473.85,13.2
2019-03-01,1514.1,13.65
2019-03-05,1541.6,14.35
2019-03-06,1534.85,15.1
2019-03-07,1531.25,15.15
2019-03-08,1518.0,14.8
2019-03-11,1514.6,15.5
2019-03-12,1569.05,15.3
2019-03-13,1636.35,15.25
2019-03-14,1682.7,15.15
2019-03-15,1703.25,15.55
2019-03-18,1719.1,15.8
2019-03-19,1725.2,16.05
2019-03-20,1713.4,16.05
2019-03-22,1698.6,15.95
2019-03-25,1683.55,15.7
2019-03-26,1714.65,15.8
2019-03-27,1804.25,15.85
2019-03-28,1821.1,16.5
2019-03-29,1780.0,16.5
2019-04-01,1743.05,17.05
2019-04-02,1774.55,17.05
2019-04-03,1773.6,16.75
2019-04-04,1736.15,16.55
2019-04-05,1767.95,17.5
2019-04-08,1751.0,17.4
2019-04-09,1767.1,17.2
2019-04-10,1747.45,17.3
2019-04-11,1740.65,17.45
2019-04-12,1736.8,17.3
2019-04-15,1748.9,17.55
2019-04-16,1815.15,17.6
2019-04-18,1764.3,17.2
2019-04-22,1688.7,16.95
