Date,CANBK,SYNDIBANK
2019-02-19,214.85,31.4
2019-02-20,218.55,32.1
2019-02-21,221.5,33.2
2019-02-22,222.0,33.35
2019-02-25,222.8,33.1
2019-02-26,217.95,32.65
2019-02-27,231.2,33.0
2019-02-28,231.45,33.45
2019-03-01,242.4,35.7
2019-03-05,253.35,37.25
2019-03-06,252.8,36.75
2019-03-07,257.35,37.5
2019-03-08,254.0,37.05
2019-03-11,259.35,38.6
2019-03-12,256.4,38.4
2019-03-13,263.0,38.95
2019-03-14,262.0,38.9
2019-03-15,264.6,38.45
2019-03-18,272.2,39.45
2019-03-19,276.35,39.95
2019-03-20,276.2,40.05
2019-03-22,271.75,38.6
2019-03-25,270.2,38.6
2019-03-26,281.2,40.15
2019-03-27,286.0,40.6
2019-03-28,296.45,42.9
2019-03-29,291.3,43.2
2019-04-01,293.7,44.35
2019-04-02,295.85,45.2
2019-04-03,285.15,43.05
2019-04-04,281.8,43.25
2019-04-05,279.95,42.45
2019-04-08,273.7,41.7
2019-04-09,286.9,42.6
2019-04-10,281.55,41.85
2019-04-11,280.6,41.6
2019-04-12,284.85,42.4
2019-04-15,280.75,41.75
2019-04-16,280.05,41.5
2019-04-18,277.25,40.6
2019-04-22,266.2,39.25
