Date,INDUSINDBK,ICICIBANK
2019-03-22,1698.6,391.8
2019-03-25,1683.55,383.5
2019-03-26,1714.65,394.1
2019-03-27,1804.25,393.2
2019-03-28,1821.1,400.55
2019-03-29,1780.0,400.5
2019-04-01,1743.05,398.25
2019-04-02,1774.55,397.15
2019-04-03,1773.6,392.1
2019-04-04,1736.15,388.75
2019-04-05,1767.95,390.55
2019-04-08,1751.0,387.1
2019-04-09,1767.1,397.15
2019-04-10,1747.45,394.2
2019-04-11,1740.65,390.05
2019-04-12,1736.8,394.6
2019-04-15,1748.9,392.75
2019-04-16,1815.15,407.0
2019-04-18,1764.3,404.4
2019-04-22,1691.0,394.5
2019-04-23,1651.35,396.5
2019-04-24,1699.25,401.1
2019-04-25,1683.45,395.4
2019-04-26,1698.85,407.2
2019-04-30,1600.3,407.8
