Date,ANDHRABANK,PNB
2018-10-15,26.4,67.55
2018-10-16,27.0,69.95
2018-10-17,26.4,66.5
2018-10-19,26.2,66.0
2018-10-22,25.95,65.7
2018-10-23,26.1,64.75
2018-10-24,26.1,65.8
2018-10-25,25.8,65.65
2018-10-26,25.55,66.15
2018-10-29,26.55,70.9
2018-10-30,27.8,72.55
2018-10-31,29.25,73.65
2018-11-01,29.3,74.3
2018-11-02,28.65,69.05
2018-11-05,28.55,70.4
2018-11-06,29.7,70.6
2018-11-07,30.15,70.95
2018-11-09,30.1,71.65
2018-11-12,29.3,70.5
2018-11-13,28.7,70.0
2018-11-14,28.55,70.75
2018-11-15,28.35,71.15
2018-11-16,28.8,73.2
2018-11-19,28.9,73.3
2018-11-20,28.6,71.3
2018-11-21,28.9,72.7
2018-11-22,28.45,71.7
2018-11-26,28.35,71.25
2018-11-27,28.45,72.45
2018-11-28,28.25,69.6
2018-11-29,28.15,69.65
2018-11-30,28.45,69.9
2018-12-03,28.45,71.45
2018-12-04,28.15,69.55
2018-12-05,27.95,68.95
2018-12-06,27.25,66.1
2018-12-07,27.0,66.0
2018-12-10,26.25,64.85
2018-12-11,26.9,68.7
2018-12-12,28.3,70.8
2018-12-13,28.6,71.35
2018-12-14,28.6,72.65
2018-12-17,28.45,72.85
2018-12-18,28.55,74.25
2018-12-19,29.4,76.95
2018-12-20,29.35,76.1
2018-12-21,29.45,76.35
2018-12-24,29.3,76.7
2018-12-26,29.25,77.75
2018-12-27,29.35,77.95
2018-12-28,29.5,78.45
2018-12-31,29.4,78.1
2019-01-01,29.75,79.8
2019-01-02,29.65,77.85
2019-01-03,28.95,77.85
2019-01-04,29.85,81.3
2019-01-07,29.85,80.55
2019-01-08,30.25,81.7
2019-01-09,29.9,80.7
2019-01-10,29.6,81.25
2019-01-11,29.45,80.65
2019-01-14,29.35,82.5
2019-01-15,28.85,81.95
2019-01-16,29.2,84.25
2019-01-17,28.75,84.55
2019-01-18,28.6,82.85
2019-01-21,28.05,80.25
2019-01-22,27.6,78.6
2019-01-23,27.05,77.75
2019-01-24,26.95,78.1
2019-01-25,26.55,76.6
2019-01-28,26.15,76.1
2019-01-29,25.95,77.3
2019-01-30,25.9,77.25
2019-01-31,25.25,77.5
2019-02-01,25.45,73.9
2019-02-04,25.0,73.15
2019-02-05,24.4,73.4
2019-02-06,24.25,75.2
2019-02-07,24.45,75.65
2019-02-08,24.1,71.2
2019-02-11,23.8,70.85
2019-02-12,23.3,71.35
2019-02-13,23.3,69.45
2019-02-14,23.7,72.25
2019-02-15,23.2,70.05
2019-02-18,23.3,69.0
2019-02-19,23.4,69.95
2019-02-20,24.0,71.1
2019-02-21,25.4,73.15
2019-02-22,25.1,73.2
2019-02-25,25.05,73.5
2019-02-26,24.45,71.85
2019-02-27,24.6,71.5
2019-02-28,24.55,72.3
2019-03-01,25.45,76.65
2019-03-05,26.25,82.65
2019-03-06,26.4,82.4
2019-03-07,26.7,85.45
2019-03-08,26.65,83.8
2019-03-11,27.0,85.85
2019-03-12,27.0,85.4
2019-03-13,26.6,84.85
2019-03-14,26.4,84.45
2019-03-15,25.8,86.05
2019-03-18,25.9,86.65
2019-03-19,26.3,90.5
2019-03-20,26.2,93.55
2019-03-22,25.9,91.55
2019-03-25,25.4,90.3
2019-03-26,25.7,92.5
2019-03-27,27.1,93.4
2019-03-28,27.95,95.35
2019-03-29,28.05,95.5
2019-04-01,32.2,97.5
2019-04-02,31.85,98.3
2019-04-03,31.05,94.45
2019-04-04,30.75,93.65
2019-04-05,30.3,93.1
2019-04-08,29.8,93.1
2019-04-09,29.55,94.35
2019-04-10,29.25,93.35
2019-04-11,28.9,92.7
2019-04-12,28.95,93.35
2019-04-15,29.05,93.85
2019-04-16,28.8,92.8
2019-04-18,28.35,90.05
2019-04-22,27.7,86.65
2019-04-23,27.55,87.2
2019-04-24,27.6,88.35
2019-04-25,27.35,86.75
2019-04-26,27.35,88.15
2019-04-29,27.3,88.25
