Date,IDBI,ANDHRABANK
2018-12-18,61.8,28.55
2018-12-19,62.0,29.4
2018-12-20,61.5,29.35
2018-12-21,61.85,29.45
2018-12-24,61.3,29.3
2018-12-26,61.2,29.25
2018-12-27,61.15,29.35
2018-12-28,61.45,29.5
2018-12-31,61.25,29.4
2019-01-01,61.45,29.75
2019-01-02,61.35,29.65
2019-01-03,61.35,28.95
2019-01-04,61.45,29.85
2019-01-07,61.3,29.85
2019-01-08,61.9,30.25
2019-01-09,64.65,29.9
2019-01-10,62.7,29.6
2019-01-11,63.35,29.45
2019-01-14,62.7,29.35
2019-01-15,61.75,28.85
2019-01-16,61.95,29.2
2019-01-17,60.7,28.75
2019-01-18,58.2,28.6
2019-01-21,56.35,28.05
2019-01-22,57.1,27.6
2019-01-23,56.6,27.05
2019-01-24,56.05,26.95
2019-01-25,54.9,26.55
2019-01-28,53.6,26.15
2019-01-29,56.25,25.95
2019-01-30,54.4,25.9
2019-01-31,55.4,25.25
2019-02-01,52.75,25.45
2019-02-04,50.5,25.0
2019-02-05,47.05,24.4
2019-02-06,43.9,24.25
2019-02-07,43.95,24.45
2019-02-08,43.2,24.1
2019-02-11,43.1,23.8
2019-02-12,43.3,23.3
2019-02-13,43.2,23.3
2019-02-14,45.2,23.7
2019-02-15,44.95,23.2
2019-02-18,42.2,23.3
2019-02-19,42.4,23.4
2019-02-20,43.75,24.0
2019-02-21,45.0,25.4
2019-02-22,43.1,25.1
2019-02-25,42.95,25.05
2019-02-26,42.25,24.45
2019-02-27,41.65,24.6
2019-02-28,42.85,24.55
2019-03-01,44.35,25.45
2019-03-05,46.25,26.25
2019-03-06,45.7,26.4
2019-03-07,44.05,26.7
2019-03-08,43.35,26.65
2019-03-11,44.85,27.0
2019-03-12,44.75,27.0
2019-03-13,43.1,26.6
2019-03-14,43.0,26.4
2019-03-15,42.8,25.8
2019-03-18,43.35,25.9
2019-03-19,43.3,26.3
2019-03-20,43.05,26.2
2019-03-22,42.65,25.9
2019-03-25,41.95,25.4
2019-03-26,42.4,25.7
2019-03-27,42.4,27.1
2019-03-28,44.6,27.95
2019-03-29,46.65,28.05
2019-04-01,46.25,32.2
2019-04-02,45.85,31.85
2019-04-03,44.4,31.05
2019-04-04,44.25,30.75
2019-04-05,44.7,30.3
2019-04-08,44.15,29.8
2019-04-09,43.85,29.55
2019-04-10,43.95,29.25
2019-04-11,43.8,28.9
2019-04-12,44.0,28.95
2019-04-15,43.95,29.05
2019-04-16,43.95,28.8
2019-04-18,43.3,28.35
2019-04-22,42.7,27.7
