Date,SBIN,PNB
2019-01-02,293.9,77.85
2019-01-03,291.1,77.85
2019-01-04,297.65,81.3
2019-01-07,296.3,80.55
2019-01-08,305.3,81.7
2019-01-09,305.3,80.7
2019-01-10,305.55,81.25
2019-01-11,302.75,80.65
2019-01-14,300.4,82.5
2019-01-15,301.65,81.95
2019-01-16,303.15,84.25
2019-01-17,297.4,84.55
2019-01-18,294.95,82.85
2019-01-21,292.45,80.25
2019-01-22,290.25,78.6
2019-01-23,286.65,77.75
2019-01-24,288.05,78.1
2019-01-25,285.4,76.6
2019-01-28,281.6,76.1
2019-01-29,280.6,77.3
2019-01-30,287.45,77.25
2019-01-31,293.65,77.5
2019-02-01,284.4,73.9
2019-02-04,283.95,73.15
2019-02-05,284.65,73.4
2019-02-06,289.05,75.2
2019-02-07,287.4,75.65
2019-02-08,286.0,71.2
2019-02-11,280.5,70.85
2019-02-12,275.4,71.35
2019-02-13,268.2,69.45
2019-02-14,267.1,72.25
2019-02-15,262.95,70.05
2019-02-18,259.95,69.0
2019-02-19,262.9,69.95
2019-02-20,267.7,71.1
2019-02-21,268.0,73.15
2019-02-22,270.95,73.2
2019-02-25,270.15,73.5
2019-02-26,266.35,71.85
2019-02-27,267.65,71.5
2019-02-28,269.05,72.3
2019-03-01,272.95,76.65
2019-03-05,276.45,82.65
2019-03-06,278.1,82.4
2019-03-07,281.75,85.45
2019-03-08,281.2,83.8
2019-03-11,287.35,85.85
2019-03-12,286.9,85.4
2019-03-13,293.15,84.85
2019-03-14,291.9,84.45
2019-03-15,298.4,86.05
2019-03-18,298.95,86.65
2019-03-19,303.05,90.5
2019-03-20,303.8,93.55
2019-03-22,298.05,91.55
2019-03-25,294.0,90.3
2019-03-26,303.5,92.5
2019-03-27,308.8,93.4
2019-03-28,319.0,95.35
2019-03-29,320.75,95.5
2019-04-01,322.75,97.5
2019-04-02,329.0,98.3
2019-04-03,320.5,94.45
2019-04-04,321.8,93.65
2019-04-05,317.05,93.1
2019-04-08,312.8,93.1
2019-04-09,314.75,94.35
2019-04-10,310.9,93.35
2019-04-11,314.9,92.7
2019-04-12,315.25,93.35
2019-04-15,315.6,93.85
2019-04-16,315.75,92.8
2019-04-18,310.8,90.05
2019-04-22,309.9,86.5
