Date,HDFC,HDFCBANK
2019-01-25,1977.8,2096.0
2019-01-28,1946.9,2084.15
2019-01-29,1922.3,2057.6
2019-01-30,1885.8,2034.7
2019-01-31,1922.35,2079.95
2019-02-01,1961.25,2090.45
2019-02-04,1978.5,2104.9
2019-02-05,1981.4,2114.05
2019-02-06,1987.95,2122.65
2019-02-07,1969.65,2117.25
2019-02-08,1944.65,2122.65
2019-02-11,1948.2,2139.65
2019-02-12,1905.05,2129.7
2019-02-13,1930.5,2143.45
2019-02-14,1900.7,2110.2
2019-02-15,1874.9,2100.65
2019-02-18,1874.85,2089.9
2019-02-19,1853.45,2084.05
2019-02-20,1870.5,2108.35
2019-02-21,1891.45,2115.9
2019-02-22,1887.4,2091.45
2019-02-25,1894.5,2125.4
2019-02-26,1853.65,2110.65
2019-02-27,1841.0,2092.25
2019-02-28,1841.2,2077.55
2019-03-01,1859.45,2083.35
2019-03-05,1860.0,2107.1
2019-03-06,1885.2,2104.25
2019-03-07,1880.2,2126.5
2019-03-08,1884.05,2128.2
2019-03-11,1897.55,2128.45
2019-03-12,1930.0,2171.0
2019-03-13,1950.65,2226.55
2019-03-14,1956.95,2224.75
2019-03-15,1974.65,2253.0
2019-03-18,1962.4,2261.45
2019-03-19,1967.85,2267.75
2019-03-20,1987.55,2299.0
2019-03-22,1981.55,2276.15
2019-03-25,1945.65,2281.3
2019-03-26,1946.3,2311.35
2019-03-27,1919.9,2299.45
2019-03-28,1944.45,2302.8
2019-03-29,1968.25,2318.9
2019-04-01,1959.65,2311.8
2019-04-02,1995.95,2294.85
2019-04-03,2013.1,2292.75
2019-04-04,2042.05,2283.95
2019-04-05,2059.2,2305.6
2019-04-08,2054.9,2289.4
2019-04-09,2069.15,2287.25
2019-04-10,2029.25,2237.35
2019-04-11,2022.8,2257.5
2019-04-12,2024.95,2265.25
2019-04-15,2014.25,2288.8
2019-04-16,2026.7,2305.05
2019-04-18,2003.75,2293.65
2019-04-22,1953.9,2268.7
2019-04-23,1934.7,2245.3
2019-04-24,1980.4,2279.75
2019-04-25,1955.15,2263.45
2019-04-26,1977.4,2280.95
2019-04-30,1965.0,2305.95
