Date,SBIN,CANBK
2019-03-14,291.9,262.0
2019-03-15,298.4,264.6
2019-03-18,298.95,272.2
2019-03-19,303.05,276.35
2019-03-20,303.8,276.2
2019-03-22,298.05,271.75
2019-03-25,294.0,270.2
2019-03-26,303.5,281.2
2019-03-27,308.8,286.0
2019-03-28,319.0,296.45
2019-03-29,320.75,291.3
2019-04-01,322.75,293.7
2019-04-02,329.0,295.85
2019-04-03,320.5,285.15
2019-04-04,321.8,281.8
2019-04-05,317.05,279.95
2019-04-08,312.8,273.7
2019-04-09,314.75,286.9
2019-04-10,310.9,281.55
2019-04-11,314.9,280.6
2019-04-12,315.25,284.85
2019-04-15,315.6,280.75
2019-04-16,315.75,280.05
2019-04-18,310.8,277.25
2019-04-22,310.05,267.5
2019-04-23,305.25,270.45
2019-04-24,310.75,273.5
2019-04-25,306.2,271.55
2019-04-26,312.5,273.4
2019-04-30,307.2,257.55
