Date,HDFCBANK,KOTAKBANK
2019-01-03,2111.8,1235.25
2019-01-04,2117.45,1247.95
2019-01-07,2120.65,1246.6
2019-01-08,2103.0,1228.9
2019-01-09,2116.8,1238.25
2019-01-10,2108.5,1219.55
2019-01-11,2111.9,1223.2
2019-01-14,2101.65,1211.75
2019-01-15,2121.9,1213.4
2019-01-16,2120.2,1202.75
2019-01-17,2132.3,1219.95
2019-01-18,2130.25,1240.2
2019-01-21,2148.15,1267.6
2019-01-22,2135.85,1291.75
2019-01-23,2105.4,1276.5
2019-01-24,2102.25,1267.75
2019-01-25,2096.0,1266.15
2019-01-28,2084.15,1260.45
2019-01-29,2057.6,1251.4
2019-01-30,2034.7,1222.2
2019-01-31,2079.95,1255.75
2019-02-01,2090.45,1255.7
2019-02-04,2104.9,1272.2
2019-02-05,2114.05,1279.15
2019-02-06,2122.65,1279.5
2019-02-07,2117.25,1284.55
2019-02-08,2122.65,1299.4
2019-02-11,2139.65,1301.55
2019-02-12,2129.7,1298.65
2019-02-13,2143.45,1298.3
2019-02-14,2110.2,1286.8
2019-02-15,2100.65,1283.65
2019-02-18,2089.9,1277.05
2019-02-19,2084.05,1280.45
2019-02-20,2108.35,1289.75
2019-02-21,2115.9,1289.15
2019-02-22,2091.45,1237.9
2019-02-25,2125.4,1240.95
2019-02-26,2110.65,1236.15
2019-02-27,2092.25,1216.15
2019-02-28,2077.55,1213.1
2019-03-01,2083.35,1225.95
2019-03-05,2107.1,1240.45
2019-03-06,2104.25,1241.3
2019-03-07,2126.5,1237.2
2019-03-08,2128.2,1238.9
2019-03-11,2128.45,1249.55
2019-03-12,2171.0,1263.35
2019-03-13,2226.55,1261.25
2019-03-14,2224.75,1268.95
2019-03-15,2253.0,1325.15
2019-03-18,2261.45,1343.65
2019-03-19,2267.75,1347.75
2019-03-20,2299.0,1351.6
2019-03-22,2276.15,1336.25
2019-03-25,2281.3,1308.65
2019-03-26,2311.35,1342.95
2019-03-27,2299.45,1332.85
2019-03-28,2302.8,1340.75
2019-03-29,2318.9,1334.5
2019-04-01,2311.8,1339.4
2019-04-02,2294.85,1339.45
2019-04-03,2292.75,1334.2
2019-04-04,2283.95,1322.9
2019-04-05,2305.6,1335.95
2019-04-08,2289.4,1343.25
2019-04-09,2287.25,1341.45
2019-04-10,2237.35,1349.9
2019-04-11,2257.5,1343.2
2019-04-12,2265.25,1343.45
2019-04-15,2288.8,1373.85
2019-04-16,2305.05,1386.4
2019-04-18,2293.65,1369.65
2019-04-22,2268.7,1356.7
2019-04-23,2245.3,1355.35
2019-04-24,2279.75,1366.75
2019-04-25,2263.45,1360.4
2019-04-26,2280.95,1379.25
2019-04-30,2309.85,1390.15
