Date,IDBI,CANBK
2019-01-14,62.7,278.0
2019-01-15,61.75,275.35
2019-01-16,61.95,275.35
2019-01-17,60.7,275.45
2019-01-18,58.2,272.6
2019-01-21,56.35,268.0
2019-01-22,57.1,263.45
2019-01-23,56.6,260.45
2019-01-24,56.05,262.3
2019-01-25,54.9,254.35
2019-01-28,53.6,240.4
2019-01-29,56.25,246.3
2019-01-30,54.4,249.75
2019-01-31,55.4,250.15
2019-02-01,52.75,238.05
2019-02-04,50.5,235.0
2019-02-05,47.05,231.15
2019-02-06,43.9,235.6
2019-02-07,43.95,237.05
2019-02-08,43.2,228.25
2019-02-11,43.1,225.0
2019-02-12,43.3,220.6
2019-02-13,43.2,220.0
2019-02-14,45.2,223.7
2019-02-15,44.95,215.25
2019-02-18,42.2,213.65
2019-02-19,42.4,214.85
2019-02-20,43.75,218.55
2019-02-21,45.0,221.5
2019-02-22,43.1,222.0
2019-02-25,42.95,222.8
2019-02-26,42.25,217.95
2019-02-27,41.65,231.2
2019-02-28,42.85,231.45
2019-03-01,44.35,242.4
2019-03-05,46.25,253.35
2019-03-06,45.7,252.8
2019-03-07,44.05,257.35
2019-03-08,43.35,254.0
2019-03-11,44.85,259.35
2019-03-12,44.75,256.4
2019-03-13,43.1,263.0
2019-03-14,43.0,262.0
2019-03-15,42.8,264.6
2019-03-18,43.35,272.2
2019-03-19,43.3,276.35
2019-03-20,43.05,276.2
2019-03-22,42.65,271.75
2019-03-25,41.95,270.2
2019-03-26,42.4,281.2
2019-03-27,42.4,286.0
2019-03-28,44.6,296.45
2019-03-29,46.65,291.3
2019-04-01,46.25,293.7
2019-04-02,45.85,295.85
2019-04-03,44.4,285.15
2019-04-04,44.25,281.8
2019-04-05,44.7,279.95
2019-04-08,44.15,273.7
2019-04-09,43.85,286.9
2019-04-10,43.95,281.55
2019-04-11,43.8,280.6
2019-04-12,44.0,284.85
2019-04-15,43.95,280.75
2019-04-16,43.95,280.05
2019-04-18,43.3,277.25
2019-04-22,42.7,266.2
