Date,CANBK,ALBK
2018-12-28,277.45,46.85
2018-12-31,275.05,46.1
2019-01-01,281.5,46.7
2019-01-02,275.4,45.0
2019-01-03,276.3,44.7
2019-01-04,282.95,46.7
2019-01-07,278.25,46.15
2019-01-08,287.9,47.55
2019-01-09,280.5,46.1
2019-01-10,281.05,45.85
2019-01-11,278.25,44.55
2019-01-14,278.0,44.45
2019-01-15,275.35,43.95
2019-01-16,275.35,44.45
2019-01-17,275.45,44.45
2019-01-18,272.6,43.8
2019-01-21,268.0,42.65
2019-01-22,263.45,42.45
2019-01-23,260.45,42.05
2019-01-24,262.3,43.15
2019-01-25,254.35,43.4
2019-01-28,240.4,42.3
2019-01-29,246.3,43.9
2019-01-30,249.75,44.9
2019-01-31,250.15,45.15
2019-02-01,238.05,44.4
2019-02-04,235.0,43.55
2019-02-05,231.15,42.45
2019-02-06,235.6,42.35
2019-02-07,237.05,42.6
2019-02-08,228.25,41.05
2019-02-11,225.0,39.85
2019-02-12,220.6,39.25
2019-02-13,220.0,41.65
2019-02-14,223.7,43.8
2019-02-15,215.25,42.0
2019-02-18,213.65,41.45
2019-02-19,214.85,41.55
2019-02-20,218.55,44.2
2019-02-21,221.5,46.3
2019-02-22,222.0,45.85
2019-02-25,222.8,45.05
2019-02-26,217.95,44.0
2019-02-27,231.2,47.4
2019-02-28,231.45,48.0
2019-03-01,242.4,50.3
2019-03-05,253.35,52.3
2019-03-06,252.8,51.45
2019-03-07,257.35,54.85
2019-03-08,254.0,57.6
2019-03-11,259.35,57.85
2019-03-12,256.4,55.6
2019-03-13,263.0,54.4
2019-03-14,262.0,55.2
2019-03-15,264.6,55.5
2019-03-18,272.2,55.75
2019-03-19,276.35,56.2
2019-03-20,276.2,55.45
2019-03-22,271.75,54.4
2019-03-25,270.2,52.55
2019-03-26,281.2,50.95
2019-03-27,286.0,52.35
2019-03-28,296.45,54.9
2019-03-29,291.3,54.6
2019-04-01,293.7,54.45
2019-04-02,295.85,55.2
2019-04-03,285.15,53.4
2019-04-04,281.8,53.5
2019-04-05,279.95,53.35
2019-04-08,273.7,52.3
2019-04-09,286.9,53.25
2019-04-10,281.55,53.25
2019-04-11,280.6,53.7
2019-04-12,284.85,54.3
2019-04-15,280.75,53.7
2019-04-16,280.05,51.85
2019-04-18,277.25,51.05
2019-04-22,267.5,48.65
2019-04-23,270.45,49.35
2019-04-24,273.5,49.85
2019-04-25,271.55,49.65
2019-04-26,273.4,49.15
2019-04-29,273.45,48.95
