Date,KOTAKBANK,YESBANK
2019-01-28,1260.45,207.5
2019-01-29,1251.4,202.9
2019-01-30,1222.2,199.5
2019-01-31,1255.75,194.1
2019-02-01,1255.7,185.6
2019-02-04,1272.2,179.8
2019-02-05,1279.15,176.1
2019-02-06,1279.5,176.45
2019-02-07,1284.55,176.95
2019-02-08,1299.4,175.1
2019-02-11,1301.55,173.25
2019-02-12,1298.65,172.65
2019-02-13,1298.3,169.45
2019-02-14,1286.8,221.25
2019-02-15,1283.65,219.0
2019-02-18,1277.05,213.55
2019-02-19,1280.45,212.85
2019-02-20,1289.75,217.85
2019-02-21,1289.15,215.15
2019-02-22,1237.9,222.0
2019-02-25,1240.95,229.1
2019-02-26,1236.15,229.5
2019-02-27,1216.15,228.2
2019-02-28,1213.1,231.15
2019-03-01,1225.95,237.6
2019-03-05,1240.45,237.45
2019-03-06,1241.3,235.3
2019-03-07,1237.2,231.7
2019-03-08,1238.9,232.3
2019-03-11,1249.55,236.3
2019-03-12,1263.35,235.85
2019-03-13,1261.25,244.3
2019-03-14,1268.95,249.85
2019-03-15,1325.15,245.05
2019-03-18,1343.65,245.95
2019-03-19,1347.75,248.8
2019-03-20,1351.6,252.15
2019-03-22,1336.25,252.6
2019-03-25,1308.65,247.25
2019-03-26,1342.95,253.7
2019-03-27,1332.85,268.45
2019-03-28,1340.75,276.1
2019-03-29,1334.5,275.1
2019-04-01,1339.4,275.9
2019-04-02,1339.45,280.3
2019-04-03,1334.2,273.7
2019-04-04,1322.9,268.05
2019-04-05,1335.95,266.85
2019-04-08,1343.25,260.05
2019-04-09,1341.45,270.6
2019-04-10,1349.9,268.25
2019-04-11,1343.2,269.05
2019-04-12,1343.45,267.9
2019-04-15,1373.85,265.5
2019-04-16,1386.4,266.45
2019-04-18,1369.65,255.8
2019-04-29,1378.0,237.8
