Date,IDBI,UNIONBANK
2018-11-07,59.55,79.3
2018-11-09,61.2,81.85
2018-11-12,60.4,78.55
2018-11-13,59.95,79.9
2018-11-14,60.6,80.65
2018-11-15,60.75,81.6
2018-11-16,60.9,82.6
2018-11-19,60.75,81.75
2018-11-20,60.25,79.95
2018-11-21,60.3,82.15
2018-11-22,59.95,80.3
2018-11-26,60.15,80.05
2018-11-27,60.2,81.7
2018-11-28,59.9,79.4
2018-11-29,60.0,79.8
2018-11-30,59.5,78.55
2018-12-03,59.4,80.75
2018-12-04,59.8,79.05
2018-12-05,60.7,76.15
2018-12-06,60.25,73.55
2018-12-07,60.25,73.0
2018-12-10,60.15,71.55
2018-12-11,60.85,73.4
2018-12-12,61.2,77.05
2018-12-13,61.55,77.2
2018-12-14,61.05,77.8
2018-12-17,61.15,77.85
2018-12-18,61.8,80.45
2018-12-19,62.0,83.1
2018-12-20,61.5,82.45
2018-12-21,61.85,82.4
2018-12-24,61.3,83.05
2018-12-26,61.2,83.5
2018-12-27,61.15,83.9
2018-12-28,61.45,85.95
2018-12-31,61.25,85.9
2019-01-01,61.45,88.3
2019-01-02,61.35,88.2
2019-01-03,61.35,88.75
2019-01-04,61.45,92.25
2019-01-07,61.3,90.6
2019-01-08,61.9,94.55
2019-01-09,64.65,92.0
2019-01-10,62.7,92.8
2019-01-11,63.35,93.65
2019-01-14,62.7,94.25
2019-01-15,61.75,94.15
2019-01-16,61.95,96.2
2019-01-17,60.7,94.85
2019-01-18,58.2,92.5
2019-01-21,56.35,86.3
2019-01-22,57.1,83.95
2019-01-23,56.6,82.75
2019-01-24,56.05,82.5
2019-01-25,54.9,79.45
2019-01-28,53.6,78.4
2019-01-29,56.25,80.05
2019-01-30,54.4,81.2
2019-01-31,55.4,82.75
2019-02-01,52.75,81.45
2019-02-04,50.5,79.45
2019-02-05,47.05,78.15
2019-02-06,43.9,79.4
2019-02-07,43.95,78.8
2019-02-08,43.2,72.5
2019-02-11,43.1,72.15
2019-02-12,43.3,70.4
2019-02-13,43.2,69.4
2019-02-14,45.2,70.95
2019-02-15,44.95,68.65
2019-02-18,42.2,67.95
2019-02-19,42.4,68.5
2019-02-20,43.75,69.65
2019-02-21,45.0,71.55
2019-02-22,43.1,71.2
2019-02-25,42.95,71.25
2019-02-26,42.25,69.7
2019-02-27,41.65,70.1
2019-02-28,42.85,71.65
2019-03-01,44.35,77.15
2019-03-05,46.25,80.65
2019-03-06,45.7,79.25
2019-03-07,44.05,79.95
2019-03-08,43.35,78.1
2019-03-11,44.85,82.7
2019-03-12,44.75,82.7
2019-03-13,43.1,82.6
2019-03-14,43.0,82.8
2019-03-15,42.8,82.9
2019-03-18,43.35,83.75
2019-03-19,43.3,87.65
2019-03-20,43.05,88.45
2019-03-22,42.65,86.85
2019-03-25,41.95,87.4
2019-03-26,42.4,91.55
2019-03-27,42.4,93.8
2019-03-28,44.6,96.95
2019-03-29,46.65,95.6
2019-04-01,46.25,96.4
2019-04-02,45.85,98.8
2019-04-03,44.4,94.8
2019-04-04,44.25,92.35
2019-04-05,44.7,93.0
2019-04-08,44.15,92.25
2019-04-09,43.85,94.7
2019-04-10,43.95,93.6
2019-04-11,43.8,93.25
2019-04-12,44.0,93.5
2019-04-15,43.95,92.7
2019-04-16,43.95,92.3
2019-04-18,43.3,91.0
2019-04-22,42.7,86.2
