Date,BANKBARODA,CANBK
2018-12-03,106.95,257.95
2018-12-04,107.85,253.85
2018-12-05,107.45,252.5
2018-12-06,105.25,245.9
2018-12-07,106.4,247.2
2018-12-10,105.95,241.1
2018-12-11,109.05,248.3
2018-12-12,113.4,258.1
2018-12-13,111.85,259.55
2018-12-14,111.4,266.45
2018-12-17,111.8,265.55
2018-12-18,112.45,269.15
2018-12-19,115.6,274.25
2018-12-20,114.9,268.45
2018-12-21,115.1,265.5
2018-12-24,115.4,266.35
2018-12-26,117.7,270.9
2018-12-27,116.4,272.25
2018-12-28,118.35,277.45
2018-12-31,118.8,275.05
2019-01-01,123.3,281.5
2019-01-02,119.35,275.4
2019-01-03,119.3,276.3
2019-01-04,121.7,282.95
2019-01-07,122.7,278.25
2019-01-08,123.85,287.9
2019-01-09,122.95,280.5
2019-01-10,123.45,281.05
2019-01-11,121.15,278.25
2019-01-14,120.95,278.0
2019-01-15,121.1,275.35
2019-01-16,121.0,275.35
2019-01-17,119.2,275.45
2019-01-18,118.0,272.6
2019-01-21,116.45,268.0
2019-01-22,113.8,263.45
2019-01-23,111.3,260.45
2019-01-24,113.0,262.3
2019-01-25,110.2,254.35
2019-01-28,109.15,240.4
2019-01-29,113.75,246.3
2019-01-30,113.7,249.75
2019-01-31,112.45,250.15
2019-02-01,111.1,238.05
2019-02-04,110.3,235.0
2019-02-05,107.95,231.15
2019-02-06,109.2,235.6
2019-02-07,108.9,237.05
2019-02-08,104.9,228.25
2019-02-11,103.9,225.0
2019-02-12,102.65,220.6
2019-02-13,102.4,220.0
2019-02-14,103.65,223.7
2019-02-15,100.85,215.25
2019-02-18,99.15,213.65
2019-02-19,102.45,214.85
2019-02-20,102.95,218.55
2019-02-21,103.0,221.5
2019-02-22,102.8,222.0
2019-02-25,102.9,222.8
2019-02-26,101.5,217.95
2019-02-27,101.0,231.2
2019-02-28,101.0,231.45
2019-03-01,108.1,242.4
2019-03-05,112.55,253.35
2019-03-06,112.1,252.8
2019-03-07,115.2,257.35
2019-03-08,113.6,254.0
2019-03-11,116.05,259.35
2019-03-12,115.35,256.4
2019-03-13,115.55,263.0
2019-03-14,116.55,262.0
2019-03-15,118.15,264.6
2019-03-18,120.55,272.2
2019-03-19,124.4,276.35
2019-03-20,125.2,276.2
2019-03-22,120.1,271.75
2019-03-25,118.2,270.2
2019-03-26,120.8,281.2
2019-03-27,121.55,286.0
2019-03-28,130.1,296.45
2019-03-29,128.65,291.3
2019-04-01,132.7,293.7
2019-04-02,133.2,295.85
2019-04-03,132.05,285.15
2019-04-04,131.2,281.8
2019-04-05,130.6,279.95
2019-04-08,130.0,273.7
2019-04-09,132.05,286.9
2019-04-10,129.7,281.55
2019-04-11,128.7,280.6
2019-04-12,131.15,284.85
2019-04-15,130.75,280.75
2019-04-16,130.9,280.05
2019-04-18,126.55,277.25
2019-04-22,123.8,267.5
2019-04-23,123.1,270.45
2019-04-24,125.1,273.5
2019-04-25,122.0,271.55
2019-04-26,123.25,273.4
2019-04-30,114.8,257.45
