Date,YESBANK,SOUTHBANK
2019-03-13,244.3,15.25
2019-03-14,249.85,15.15
2019-03-15,245.05,15.55
2019-03-18,245.95,15.8
2019-03-19,248.8,16.05
2019-03-20,252.15,16.05
2019-03-22,252.6,15.95
2019-03-25,247.25,15.7
2019-03-26,253.7,15.8
2019-03-27,268.45,15.85
2019-03-28,276.1,16.5
2019-03-29,275.1,16.5
2019-04-01,275.9,17.05
2019-04-02,280.3,17.05
2019-04-03,273.7,16.75
2019-04-04,268.05,16.55
2019-04-05,266.85,17.5
2019-04-08,260.05,17.4
2019-04-09,270.6,17.2
2019-04-10,268.25,17.3
2019-04-11,269.05,17.45
2019-04-12,267.9,17.3
2019-04-15,265.5,17.55
2019-04-16,266.45,17.6
2019-04-18,255.8,17.2
2019-04-22,238.1,16.95
