Date,SYNDIBANK,UNIONBANK
2019-01-29,35.3,80.05
2019-01-30,36.55,81.2
2019-01-31,36.9,82.75
2019-02-01,37.3,81.45
2019-02-04,36.65,79.45
2019-02-05,35.65,78.15
2019-02-06,35.45,79.4
2019-02-07,35.6,78.8
2019-02-08,33.4,72.5
2019-02-11,32.55,72.15
2019-02-12,32.35,70.4
2019-02-13,31.6,69.4
2019-02-14,32.35,70.95
2019-02-15,31.25,68.65
2019-02-18,30.95,67.95
2019-02-19,31.4,68.5
2019-02-20,32.1,69.65
2019-02-21,33.2,71.55
2019-02-22,33.35,71.2
2019-02-25,33.1,71.25
2019-02-26,32.65,69.7
2019-02-27,33.0,70.1
2019-02-28,33.45,71.65
2019-03-01,35.7,77.15
2019-03-05,37.25,80.65
2019-03-06,36.75,79.25
2019-03-07,37.5,79.95
2019-03-08,37.05,78.1
2019-03-11,38.6,82.7
2019-03-12,38.4,82.7
2019-03-13,38.95,82.6
2019-03-14,38.9,82.8
2019-03-15,38.45,82.9
2019-03-18,39.45,83.75
2019-03-19,39.95,87.65
2019-03-20,40.05,88.45
2019-03-22,38.6,86.85
2019-03-25,38.6,87.4
2019-03-26,40.15,91.55
2019-03-27,40.6,93.8
2019-03-28,42.9,96.95
2019-03-29,43.2,95.6
2019-04-01,44.35,96.4
2019-04-02,45.2,98.8
2019-04-03,43.05,94.8
2019-04-04,43.25,92.35
2019-04-05,42.45,93.0
2019-04-08,41.7,92.25
2019-04-09,42.6,94.7
2019-04-10,41.85,93.6
2019-04-11,41.6,93.25
2019-04-12,42.4,93.5
2019-04-15,41.75,92.7
2019-04-16,41.5,92.3
2019-04-18,40.6,91.0
2019-04-22,39.25,86.85
2019-04-23,38.9,88.1
2019-04-24,39.55,89.1
2019-04-25,39.1,87.65
2019-04-26,40.35,88.05
2019-04-30,38.0,83.75
