Date,UNIONBANK,PNB
2019-02-19,68.5,69.95
2019-02-20,69.65,71.1
2019-02-21,71.55,73.15
2019-02-22,71.2,73.2
2019-02-25,71.25,73.5
2019-02-26,69.7,71.85
2019-02-27,70.1,71.5
2019-02-28,71.65,72.3
2019-03-01,77.15,76.65
2019-03-05,80.65,82.65
2019-03-06,79.25,82.4
2019-03-07,79.95,85.45
2019-03-08,78.1,83.8
2019-03-11,82.7,85.85
2019-03-12,82.7,85.4
2019-03-13,82.6,84.85
2019-03-14,82.8,84.45
2019-03-15,82.9,86.05
2019-03-18,83.75,86.65
2019-03-19,87.65,90.5
2019-03-20,88.45,93.55
2019-03-22,86.85,91.55
2019-03-25,87.4,90.3
2019-03-26,91.55,92.5
2019-03-27,93.8,93.4
2019-03-28,96.95,95.35
2019-03-29,95.6,95.5
2019-04-01,96.4,97.5
2019-04-02,98.8,98.3
2019-04-03,94.8,94.45
2019-04-04,92.35,93.65
2019-04-05,93.0,93.1
2019-04-08,92.25,93.1
2019-04-09,94.7,94.35
2019-04-10,93.6,93.35
2019-04-11,93.25,92.7
2019-04-12,93.5,93.35
2019-04-15,92.7,93.85
2019-04-16,92.3,92.8
2019-04-18,91.0,90.05
2019-04-22,86.85,86.65
2019-04-23,88.1,87.2
2019-04-24,89.1,88.35
2019-04-25,87.65,86.75
2019-04-26,88.05,88.15
2019-04-29,87.95,88.25
