Date,CANBK,ANDHRABANK
2018-11-07,242.8,30.15
2018-11-09,246.4,30.1
2018-11-12,238.1,29.3
2018-11-13,243.25,28.7
2018-11-14,252.65,28.55
2018-11-15,255.65,28.35
2018-11-16,263.7,28.8
2018-11-19,261.1,28.9
2018-11-20,256.85,28.6
2018-11-21,263.1,28.9
2018-11-22,260.9,28.45
2018-11-26,263.65,28.35
2018-11-27,267.55,28.45
2018-11-28,262.05,28.25
2018-11-29,261.05,28.15
2018-11-30,255.8,28.45
2018-12-03,257.95,28.45
2018-12-04,253.85,28.15
2018-12-05,252.5,27.95
2018-12-06,245.9,27.25
2018-12-07,247.2,27.0
2018-12-10,241.1,26.25
2018-12-11,248.3,26.9
2018-12-12,258.1,28.3
2018-12-13,259.55,28.6
2018-12-14,266.45,28.6
2018-12-17,265.55,28.45
2018-12-18,269.15,28.55
2018-12-19,274.25,29.4
2018-12-20,268.45,29.35
2018-12-21,265.5,29.45
2018-12-24,266.35,29.3
2018-12-26,270.9,29.25
2018-12-27,272.25,29.35
2018-12-28,277.45,29.5
2018-12-31,275.05,29.4
2019-01-01,281.5,29.75
2019-01-02,275.4,29.65
2019-01-03,276.3,28.95
2019-01-04,282.95,29.85
2019-01-07,278.25,29.85
2019-01-08,287.9,30.25
2019-01-09,280.5,29.9
2019-01-10,281.05,29.6
2019-01-11,278.25,29.45
2019-01-14,278.0,29.35
2019-01-15,275.35,28.85
2019-01-16,275.35,29.2
2019-01-17,275.45,28.75
2019-01-18,272.6,28.6
2019-01-21,268.0,28.05
2019-01-22,263.45,27.6
2019-01-23,260.45,27.05
2019-01-24,262.3,26.95
2019-01-25,254.35,26.55
2019-01-28,240.4,26.15
2019-01-29,246.3,25.95
2019-01-30,249.75,25.9
2019-01-31,250.15,25.25
2019-02-01,238.05,25.45
2019-02-04,235.0,25.0
2019-02-05,231.15,24.4
2019-02-06,235.6,24.25
2019-02-07,237.05,24.45
2019-02-08,228.25,24.1
2019-02-11,225.0,23.8
2019-02-12,220.6,23.3
2019-02-13,220.0,23.3
2019-02-14,223.7,23.7
2019-02-15,215.25,23.2
2019-02-18,213.65,23.3
2019-02-19,214.85,23.4
2019-02-20,218.55,24.0
2019-02-21,221.5,25.4
2019-02-22,222.0,25.1
2019-02-25,222.8,25.05
2019-02-26,217.95,24.45
2019-02-27,231.2,24.6
2019-02-28,231.45,24.55
2019-03-01,242.4,25.45
2019-03-05,253.35,26.25
2019-03-06,252.8,26.4
2019-03-07,257.35,26.7
2019-03-08,254.0,26.65
2019-03-11,259.35,27.0
2019-03-12,256.4,27.0
2019-03-13,263.0,26.6
2019-03-14,262.0,26.4
2019-03-15,264.6,25.8
2019-03-18,272.2,25.9
2019-03-19,276.35,26.3
2019-03-20,276.2,26.2
2019-03-22,271.75,25.9
2019-03-25,270.2,25.4
2019-03-26,281.2,25.7
2019-03-27,286.0,27.1
2019-03-28,296.45,27.95
2019-03-29,291.3,28.05
2019-04-01,293.7,32.2
2019-04-02,295.85,31.85
2019-04-03,285.15,31.05
2019-04-04,281.8,30.75
2019-04-05,279.95,30.3
2019-04-08,273.7,29.8
2019-04-09,286.9,29.55
2019-04-10,281.55,29.25
2019-04-11,280.6,28.9
2019-04-12,284.85,28.95
2019-04-15,280.75,29.05
2019-04-16,280.05,28.8
2019-04-18,277.25,28.35
2019-04-22,267.5,27.7
2019-04-23,270.45,27.55
2019-04-24,273.5,27.6
2019-04-25,271.55,27.35
2019-04-26,273.4,27.35
2019-04-30,257.45,26.6
